onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.31	0	sound	rb	2	12	4	0	1.13
18.793	0	feedback	rb	2	12	n/a	n/a	n/a
21.809	0	sound	rb	3	25	3	1	1.422
26.059	0	feedback	rb	3	25	n/a	n/a	n/a
29.309	0	sound	rb	2	14	4	0	1.218
32.958	0	feedback	rb	2	14	n/a	n/a	n/a
36.841	0	sound	rb	1	4	3	0	1.014
40.474	0	feedback	rb	1	4	n/a	n/a	n/a
44.291	0	sound	rb	1	8	1	1	1.404
48.69	0	feedback	rb	1	8	n/a	n/a	n/a
51.807	0	sound	rb	2	17	4	0	1.232
55.89	0	feedback	rb	2	17	n/a	n/a	n/a
61.806	0	sound	rb	1	5	3	0	1.232
65.172	0	feedback	rb	1	5	n/a	n/a	n/a
69.305	0	sound	rb	4	38	4	1	0.821
72.105	0	feedback	rb	4	38	n/a	n/a	n/a
79.287	0	sound	rb	4	33	4	1	1.695
83.287	0	feedback	rb	4	33	n/a	n/a	n/a
86.837	0	sound	rb	2	20	2	1	1.057
89.37	0	feedback	rb	2	20	n/a	n/a	n/a
96.802	0	sound	rb	1	6	1	1	1.299
101.102	0	feedback	rb	1	6	n/a	n/a	n/a
104.302	0	sound	rb	2	19	2	1	1.471
108.201	0	feedback	rb	2	19	n/a	n/a	n/a
111.801	0	sound	rb	2	11	2	1	1.484
114.817	0	feedback	rb	2	11	n/a	n/a	n/a
119.3	0	sound	rb	3	26	3	1	1.217
123.75	0	feedback	rb	3	26	n/a	n/a	n/a
129.299	0	sound	rb	1	9	1	1	1.209
133.299	0	feedback	rb	1	9	n/a	n/a	n/a
136.799	0	sound	rb	4	40	4	1	1.341
140.865	0	feedback	rb	4	40	n/a	n/a	n/a
146.814	0	sound	rb	2	15	2	1	1.174
150.281	0	feedback	rb	2	15	n/a	n/a	n/a
154.297	0	sound	rb	3	28	3	1	1.267
158.546	0	feedback	rb	3	28	n/a	n/a	n/a
161.78	0	sound	rb	4	34	4	1	1.455
165.146	0	feedback	rb	4	34	n/a	n/a	n/a
169.295	0	sound	rb	1	2	1	1	1.076
172.545	0	feedback	rb	1	2	n/a	n/a	n/a
176.811	0	sound	rb	2	13	4	0	1.472
180.794	0	feedback	rb	2	13	n/a	n/a	n/a
184.294	0	sound	rb	1	10	2	0	1.621
187.894	0	feedback	rb	1	10	n/a	n/a	n/a
194.293	0	sound	rb	1	1	1	1	1.309
197.909	0	feedback	rb	1	1	n/a	n/a	n/a
201.792	0	sound	rb	4	37	4	1	1.218
206.075	0	feedback	rb	4	37	n/a	n/a	n/a
209.308	0	sound	rb	4	31	4	1	1.398
213.725	0	feedback	rb	4	31	n/a	n/a	n/a
216.808	0	sound	rb	3	23	3	1	1.362
219.657	0	feedback	rb	3	23	n/a	n/a	n/a
224.307	0	sound	rb	1	3	1	1	0.911
227.99	0	feedback	rb	1	3	n/a	n/a	n/a
231.823	0	sound	rb	3	21	1	0	1.218
235.772	0	feedback	rb	3	21	n/a	n/a	n/a
239.289	0	sound	rb	2	18	2	1	1.488
243.688	0	feedback	rb	2	18	n/a	n/a	n/a
249.288	0	sound	rb	4	35	4	1	1.065
253.304	0	feedback	rb	4	35	n/a	n/a	n/a
256.787	0	sound	rb	3	22	4	0	1.23
260.853	0	feedback	rb	3	22	n/a	n/a	n/a
266.786	0	sound	rb	4	36	4	1	0.95
270.553	0	feedback	rb	4	36	n/a	n/a	n/a
274.285	0	sound	rb	4	39	4	1	1.851
278.302	0	feedback	rb	4	39	n/a	n/a	n/a
281.785	0	sound	rb	2	16	2	1	1.103
285.401	0	feedback	rb	2	16	n/a	n/a	n/a
289.284	0	sound	rb	3	30	1	0	1.876
292.284	0	feedback	rb	3	30	n/a	n/a	n/a
296.783	0	sound	rb	1	7	1	1	0.816
301.15	0	feedback	rb	1	7	n/a	n/a	n/a
304.283	0	sound	rb	3	29	4	0	1.276
307.432	0	feedback	rb	3	29	n/a	n/a	n/a
311.799	0	sound	rb	3	27	3	1	1.224
314.298	0	feedback	rb	3	27	n/a	n/a	n/a
319.298	0	sound	rb	3	24	3	1	1.029
322.964	0	feedback	rb	3	24	n/a	n/a	n/a
329.28	0	sound	rb	4	32	2	0	1.302
332.997	0	feedback	rb	4	32	n/a	n/a	n/a
